date,dexalus,dexcaus,dexjpus,dexszus,dexukus
2021-10-29,1.3315579227696406,1.2397,114.03,0.9165,0.7306736811340055
2021-11-01,1.3273161667109106,1.2355,114.19,0.9105,0.7310475911981871
2021-11-02,1.3460761879122358,1.242,113.78,0.9145,0.7346459006758742
2021-11-03,1.3458950201884252,1.2416,114.06,0.9121,0.7321180174244089
2021-11-04,1.3509862199405567,1.2462,113.63,0.9127,0.7410701052319549
2021-11-05,1.349892008639309,1.2439,113.45,0.9133,0.7412348973389667
2021-11-08,1.3460761879122358,1.2441,113.15,0.9132,0.737300007373
2021-11-09,1.3570362328674175,1.2457,112.87,0.9118,0.7379529186037931
2021-11-10,1.358695652173913,1.2447,113.89,0.9164,0.7423904974016333
2021-11-11,,,,,
2021-11-12,1.3657470636438132,1.2558,113.9,0.9211,0.7456009543692216
2021-11-15,1.3585110718652358,1.2515,113.96,0.9217,0.7438262421898244
2021-11-16,1.3681762210972774,1.2562,114.62,0.9298,0.7446570854121677
2021-11-17,1.3749484394335214,1.2594,114.33,0.9286,0.741399762752076
2021-11-18,1.375515818431912,1.2629,114.22,0.926,0.7413447994662318
2021-11-19,1.37797988149373,1.2631,113.81,0.9262,0.742170105388155
2021-11-22,1.38217000691085,1.2684,114.69,0.93,0.7456009543692216
2021-11-23,1.3846579894765993,1.2712,114.98,0.9325,0.7469375560203168
2021-11-24,1.3894678338196471,1.2657,115.34,0.9354,0.7500750075007501
2021-11-25,,,,,
2021-11-26,1.403705783267827,1.2756,113.46,0.9234,0.7506380423359855
2021-11-29,1.4046916701783958,1.2792,113.75,0.925,0.7523888345496953
2021-11-30,1.4108352144469527,1.2812,113.22,0.9217,0.7546030787805614
2021-12-01,1.4021312394840157,1.2778,112.82,0.9195,0.7514277126540427
2021-12-02,1.409046075806679,1.2814,113.1,0.9205,0.7515971439308531
2021-12-03,1.426330052774212,1.2833,112.88,0.9185,0.7556294393229561
2021-12-06,1.4196479273140261,1.2785,113.31,0.9256,0.7546030787805614
2021-12-07,1.4058765640376774,1.2651,113.61,0.9264,0.7555152614082804
2021-12-08,1.3952839402818473,1.2653,113.83,0.9217,0.7555152614082804
2021-12-09,1.3993842709207949,1.2698,113.53,0.926,0.7582650894752806
2021-12-10,1.3933398355858995,1.2706,113.36,0.9205,0.7540340823405217
2021-12-13,1.4039028499227852,1.2795,113.42,0.9212,0.7556865412227008
2021-12-14,1.4078558355624384,1.2858,113.63,0.9236,0.7561436672967864
2021-12-15,1.4035087719298245,1.2916,113.83,0.9258,0.7567731194187983
2021-12-16,1.3906271728549577,1.2772,113.67,0.9215,0.7504690431519699
2021-12-17,1.3989927252378287,1.283,113.56,0.9226,0.7536362951239732
2021-12-20,1.405086412814388,1.2941,113.45,0.92,0.7563152321887763
2021-12-21,1.400560224089636,1.2927,114.11,0.9242,0.7545461404964914
2021-12-22,1.386001386001386,1.2844,114.22,0.9201,0.7493443237167479
